,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
0,01120,1200013,ACRELÂNDIA,N,['0008'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01120-c0001-e000544-v.json
1,01570,1200054,ASSIS BRASIL,N,['0006'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01570-c0001-e000544-v.json
2,01058,1200104,BRASILÉIA,N,['0006'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01058-c0001-e000544-v.json
3,01007,1200138,BUJARI,N,['0009'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01007-c0001-e000544-v.json
4,01015,1200179,CAPIXABA,N,['0002'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01015-c0001-e000544-v.json
5,01074,1200203,CRUZEIRO DO SUL,N,['0004'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01074-c0001-e000544-v.json
6,01112,1200252,EPITACIOLÂNDIA,N,['0006'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01112-c0001-e000544-v.json
7,01139,1200302,FEIJÓ,N,['0007'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01139-c0001-e000544-v.json
8,01104,1200328,JORDÃO,N,['0005'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01104-c0001-e000544-v.json
9,01554,1200344,MANOEL URBANO,N,['0003'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01554-c0001-e000544-v.json
10,01040,1200351,MARECHAL THAUMATURGO,N,['0004'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01040-c0001-e000544-v.json
11,01090,1200336,MÂNCIO LIMA,N,['0004'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01090-c0001-e000544-v.json
12,01511,1200385,PLÁCIDO DE CASTRO,N,['0008'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01511-c0001-e000544-v.json
13,01023,1200807,PORTO ACRE,N,['0001'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01023-c0001-e000544-v.json
14,01066,1200393,PORTO WALTER,N,['0004'],ac,ACRE,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ac/ac01066-c0001-e000544-v.json
